C00142_MIN_DT
C00142_MAX_DT
C00740_MIN_DT
C00740_MAX_DT
C00810_MIN_DT
C00810_MAX_DT
C00865_MIN_DT
C00865_MAX_DT
C00910_MIN_DT
C00910_MAX_DT
C00914_MIN_DT
C00914_MAX_DT
C1036F_MIN_DT
C1036F_MAX_DT
C1101F_MIN_DT
C1101F_MAX_DT
C11100_MIN_DT
C11100_MAX_DT
C1123F_MIN_DT
C1123F_MAX_DT
C1126F_MIN_DT
C1126F_MAX_DT
C1159F_MIN_DT
C1159F_MAX_DT
C1160F_MIN_DT
C1160F_MAX_DT
C1170F_MIN_DT
C1170F_MAX_DT
C11721_MIN_DT
C11721_MAX_DT
C17000_MIN_DT
C17000_MAX_DT
C17003_MIN_DT
C17003_MAX_DT
C17110_MIN_DT
C17110_MAX_DT
C2022F_MIN_DT
C2022F_MAX_DT
C20610_MIN_DT
C20610_MAX_DT
C3008F_MIN_DT
C3008F_MAX_DT
C3016F_MIN_DT
C3016F_MAX_DT
C3017F_MIN_DT
C3017F_MAX_DT
C3074F_MIN_DT
C3074F_MAX_DT
C3078F_MIN_DT
C3078F_MAX_DT
C3288F_MIN_DT
C3288F_MAX_DT
C3570F_MIN_DT
C3570F_MAX_DT
C36415_MIN_DT
C36415_MAX_DT
C36620_MIN_DT
C36620_MAX_DT
C38571_MIN_DT
C38571_MAX_DT
C4004F_MIN_DT
C4004F_MAX_DT
C4040F_MIN_DT
C4040F_MAX_DT
C4048F_MIN_DT
C4048F_MAX_DT
C4250F_MIN_DT
C4250F_MAX_DT
C4255F_MIN_DT
C4255F_MAX_DT
C43239_MIN_DT
C43239_MAX_DT
C45378_MIN_DT
C45378_MAX_DT
C45380_MIN_DT
C45380_MAX_DT
C45385_MIN_DT
C45385_MAX_DT
C51700_MIN_DT
C51700_MAX_DT
C51702_MIN_DT
C51702_MAX_DT
C51741_MIN_DT
C51741_MAX_DT
C51798_MIN_DT
C51798_MAX_DT
C52000_MIN_DT
C52000_MAX_DT
C52281_MIN_DT
C52281_MAX_DT
C52332_MIN_DT
C52332_MAX_DT
C52601_MIN_DT
C52601_MAX_DT
C55700_MIN_DT
C55700_MAX_DT
C55866_MIN_DT
C55866_MAX_DT
C6045F_MIN_DT
C6045F_MAX_DT
C66984_MIN_DT
C66984_MAX_DT
C69210_MIN_DT
C69210_MAX_DT
C70450_MIN_DT
C70450_MAX_DT
C70551_MIN_DT
C70551_MAX_DT
C70553_MIN_DT
C70553_MAX_DT
C71010_MIN_DT
C71010_MAX_DT
C71020_MIN_DT
C71020_MAX_DT
C71100_MIN_DT
C71100_MAX_DT
C71250_MIN_DT
C71250_MAX_DT
C71260_MIN_DT
C71260_MAX_DT
C71275_MIN_DT
C71275_MAX_DT
C72040_MIN_DT
C72040_MAX_DT
C72070_MIN_DT
C72070_MAX_DT
C72100_MIN_DT
C72100_MAX_DT
C72110_MIN_DT
C72110_MAX_DT
C72125_MIN_DT
C72125_MAX_DT
C72131_MIN_DT
C72131_MAX_DT
C72141_MIN_DT
C72141_MAX_DT
C72148_MIN_DT
C72148_MAX_DT
C72157_MIN_DT
C72157_MAX_DT
C72158_MIN_DT
C72158_MAX_DT
C72170_MIN_DT
C72170_MAX_DT
C72197_MIN_DT
C72197_MAX_DT
C73030_MIN_DT
C73030_MAX_DT
C73130_MIN_DT
C73130_MAX_DT
C73502_MIN_DT
C73502_MAX_DT
C73510_MIN_DT
C73510_MAX_DT
C73550_MIN_DT
C73550_MAX_DT
C73560_MIN_DT
C73560_MAX_DT
C73562_MIN_DT
C73562_MAX_DT
C73564_MIN_DT
C73564_MAX_DT
C73610_MIN_DT
C73610_MAX_DT
C73630_MIN_DT
C73630_MAX_DT
C73721_MIN_DT
C73721_MAX_DT
C74000_MIN_DT
C74000_MAX_DT
C74020_MIN_DT
C74020_MAX_DT
C74022_MIN_DT
C74022_MAX_DT
C74176_MIN_DT
C74176_MAX_DT
C74177_MIN_DT
C74177_MAX_DT
C74178_MIN_DT
C74178_MAX_DT
C74420_MIN_DT
C74420_MAX_DT
C76700_MIN_DT
C76700_MAX_DT
C76705_MIN_DT
C76705_MAX_DT
C76770_MIN_DT
C76770_MAX_DT
C76775_MIN_DT
C76775_MAX_DT
C76857_MIN_DT
C76857_MAX_DT
C76872_MIN_DT
C76872_MAX_DT
C76937_MIN_DT
C76937_MAX_DT
C76942_MIN_DT
C76942_MAX_DT
C77001_MIN_DT
C77001_MAX_DT
C77012_MIN_DT
C77012_MAX_DT
C77014_MIN_DT
C77014_MAX_DT
C77080_MIN_DT
C77080_MAX_DT
C77263_MIN_DT
C77263_MAX_DT
C77280_MIN_DT
C77280_MAX_DT
C77290_MIN_DT
C77290_MAX_DT
C77300_MIN_DT
C77300_MAX_DT
C77301_MIN_DT
C77301_MAX_DT
C77334_MIN_DT
C77334_MAX_DT
C77336_MIN_DT
C77336_MAX_DT
C77338_MIN_DT
C77338_MAX_DT
C77418_MIN_DT
C77418_MAX_DT
C77427_MIN_DT
C77427_MAX_DT
C77470_MIN_DT
C77470_MAX_DT
C78306_MIN_DT
C78306_MAX_DT
C78320_MIN_DT
C78320_MAX_DT
C78452_MIN_DT
C78452_MAX_DT
C78815_MIN_DT
C78815_MAX_DT
C78816_MIN_DT
C78816_MAX_DT
C80048_MIN_DT
C80048_MAX_DT
C80050_MIN_DT
C80050_MAX_DT
C80051_MIN_DT
C80051_MAX_DT
C80053_MIN_DT
C80053_MAX_DT
C80061_MIN_DT
C80061_MAX_DT
C80076_MIN_DT
C80076_MAX_DT
C81000_MIN_DT
C81000_MAX_DT
C81001_MIN_DT
C81001_MAX_DT
C81002_MIN_DT
C81002_MAX_DT
C81003_MIN_DT
C81003_MAX_DT
C82040_MIN_DT
C82040_MAX_DT
C82043_MIN_DT
C82043_MAX_DT
C82150_MIN_DT
C82150_MAX_DT
C82247_MIN_DT
C82247_MAX_DT
C82248_MIN_DT
C82248_MAX_DT
C82270_MIN_DT
C82270_MAX_DT
C82274_MIN_DT
C82274_MAX_DT
C82306_MIN_DT
C82306_MAX_DT
C82310_MIN_DT
C82310_MAX_DT
C82550_MIN_DT
C82550_MAX_DT
C82553_MIN_DT
C82553_MAX_DT
C82565_MIN_DT
C82565_MAX_DT
C82570_MIN_DT
C82570_MAX_DT
C82607_MIN_DT
C82607_MAX_DT
C82728_MIN_DT
C82728_MAX_DT
C82746_MIN_DT
C82746_MAX_DT
C82947_MIN_DT
C82947_MAX_DT
C82948_MIN_DT
C82948_MAX_DT
C82962_MIN_DT
C82962_MAX_DT
C82977_MIN_DT
C82977_MAX_DT
C83036_MIN_DT
C83036_MAX_DT
C83540_MIN_DT
C83540_MAX_DT
C83550_MIN_DT
C83550_MAX_DT
C83605_MIN_DT
C83605_MAX_DT
C83615_MIN_DT
C83615_MAX_DT
C83690_MIN_DT
C83690_MAX_DT
C83721_MIN_DT
C83721_MAX_DT
C83735_MIN_DT
C83735_MAX_DT
C83880_MIN_DT
C83880_MAX_DT
C83970_MIN_DT
C83970_MAX_DT
C84075_MIN_DT
C84075_MAX_DT
C84100_MIN_DT
C84100_MAX_DT
C84132_MIN_DT
C84132_MAX_DT
C84153_MIN_DT
C84153_MAX_DT
C84154_MIN_DT
C84154_MAX_DT
C84165_MIN_DT
C84165_MAX_DT
C84270_MIN_DT
C84270_MAX_DT
C84402_MIN_DT
C84402_MAX_DT
C84403_MIN_DT
C84403_MAX_DT
C84436_MIN_DT
C84436_MAX_DT
C84439_MIN_DT
C84439_MAX_DT
C84443_MIN_DT
C84443_MAX_DT
C84450_MIN_DT
C84450_MAX_DT
C84460_MIN_DT
C84460_MAX_DT
C84484_MIN_DT
C84484_MAX_DT
C84520_MIN_DT
C84520_MAX_DT
C84550_MIN_DT
C84550_MAX_DT
C85007_MIN_DT
C85007_MAX_DT
C85014_MIN_DT
C85014_MAX_DT
C85018_MIN_DT
C85018_MAX_DT
C85025_MIN_DT
C85025_MAX_DT
C85027_MIN_DT
C85027_MAX_DT
C85610_MIN_DT
C85610_MAX_DT
C85651_MIN_DT
C85651_MAX_DT
C85652_MIN_DT
C85652_MAX_DT
C85730_MIN_DT
C85730_MAX_DT
C86140_MIN_DT
C86140_MAX_DT
C86803_MIN_DT
C86803_MAX_DT
C86850_MIN_DT
C86850_MAX_DT
C86900_MIN_DT
C86900_MAX_DT
C86901_MIN_DT
C86901_MAX_DT
C87040_MIN_DT
C87040_MAX_DT
C87070_MIN_DT
C87070_MAX_DT
C87077_MIN_DT
C87077_MAX_DT
C87086_MIN_DT
C87086_MAX_DT
C87088_MIN_DT
C87088_MAX_DT
C87186_MIN_DT
C87186_MAX_DT
C87205_MIN_DT
C87205_MAX_DT
C88112_MIN_DT
C88112_MAX_DT
C88173_MIN_DT
C88173_MAX_DT
C88304_MIN_DT
C88304_MAX_DT
C88305_MIN_DT
C88305_MAX_DT
C88307_MIN_DT
C88307_MAX_DT
C88309_MIN_DT
C88309_MAX_DT
C88311_MIN_DT
C88311_MAX_DT
C88312_MIN_DT
C88312_MAX_DT
C88313_MIN_DT
C88313_MAX_DT
C88321_MIN_DT
C88321_MAX_DT
C88341_MIN_DT
C88341_MAX_DT
C88342_MIN_DT
C88342_MAX_DT
C88344_MIN_DT
C88344_MAX_DT
C90471_MIN_DT
C90471_MAX_DT
C90656_MIN_DT
C90656_MAX_DT
C90658_MIN_DT
C90658_MAX_DT
C90662_MIN_DT
C90662_MAX_DT
C90670_MIN_DT
C90670_MAX_DT
C90686_MIN_DT
C90686_MAX_DT
C90715_MIN_DT
C90715_MAX_DT
C90732_MIN_DT
C90732_MAX_DT
C92004_MIN_DT
C92004_MAX_DT
C92012_MIN_DT
C92012_MAX_DT
C92014_MIN_DT
C92014_MAX_DT
C92015_MIN_DT
C92015_MAX_DT
C92020_MIN_DT
C92020_MAX_DT
C92083_MIN_DT
