Column,Type,NumUniqueValues
onc_psa_date8_index_dd,numerical,137
onc_psa_date9_index_dd,numerical,104
onc_tnm_date_index_dd,numerical,372
onc_total_testo1,numerical,145
onc_total_testo10,numerical,4
onc_total_testo2,numerical,70
onc_total_testo3,numerical,45
onc_total_testo4,numerical,36
onc_total_testo5,numerical,26
onc_total_testo6,numerical,18
onc_total_testo7,numerical,15
onc_total_testo8,numerical,10
onc_total_testo9,numerical,9
onc_total_testo_date10_index_dd,numerical,4
onc_total_testo_date1_index_dd,numerical,161
onc_total_testo_date2_index_dd,numerical,95
onc_total_testo_date3_index_dd,numerical,57
onc_total_testo_date4_index_dd,numerical,40
onc_total_testo_date5_index_dd,numerical,31
onc_total_testo_date6_index_dd,numerical,24
onc_total_testo_date7_index_dd,numerical,17
onc_total_testo_date8_index_dd,numerical,10
onc_total_testo_date9_index_dd,numerical,9
stage_i,numerical,2
stage_ii,numerical,2
stage_iii,numerical,2
stage_iv,numerical,2
