Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Above0_P,Positive Above0_P,Negative Above0_P,Mean above 0,Positive Mean above 0,Negative Mean above 0,Precision,Above0_Diff,Percentage Mean Difference above 0,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min above 0,Positive P10 above 0,Positive P25 above 0,Positive P50 above 0,Positive P75 above 0,Positive P90 above 0,Positive Max above 0,Negative Min above 0,Negative P10 above 0,Negative P25 above 0,Negative P50 above 0,Negative P75 above 0,Negative P90 above 0,Negative Max above 0
onc_ecog27,numerical,3,NA,3,3,5249,0.9994287890327495,2,0,2,3.808073115003808e-4,0,4.0192926045016077e-4,1,NaN,1,0,4.0192926045016077e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog28,numerical,3,NA,3,3,5249,0.9994287890327495,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog29,numerical,3,NA,3,3,5249,0.9994287890327495,2,0,2,3.808073115003808e-4,0,4.0192926045016077e-4,1,NaN,1,0,4.0192926045016077e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog3,numerical,4,NA,4,142,5110,0.9729626808834729,78,2,76,0.01485148514851485,0.007246376811594203,0.01527331189710611,1.1666666666666667,1,1.1710526315789473,0.02564102564102564,0.008026935085511906,0.14661654135338342,-0.06828,0.06828,0.41944,0.9514983333333334,0.5350877192982456,1,1,1,1,1,1,1,1,1,1,1,1,2,2
onc_ecog30,numerical,3,NA,3,3,5249,0.9994287890327495,2,0,2,3.808073115003808e-4,0,4.0192926045016077e-4,1,NaN,1,0,4.0192926045016077e-4,NaN,NA,NA,NA,NA,NaN,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_ecog4,numerical,4,NA,4,111,5141,0.9788651942117289,57,2,55,0.010853008377760853,0.007246376811594203,0.011053054662379422,1.1578947368421053,1,1.1636363636363636,0.03508771929824561,0.003806677850785219,0.14132231404958673,0.03192,0.03192,0.73949,0.9514983333333334,1.9272727272727272,1,1,1,1,1,1,1,1,1,1,1,1,2,2
onc_ecog5,numerical,4,NA,4,88,5164,0.9832444782939832,51,3,48,0.00971058644325971,0.010869565217391304,0.00964630225080386,1.1372549019607843,1,1.1458333333333333,0.058823529411764705,0.0012232629665874448,0.12823275862068959,0.12401,0.12401,0.24967,0.9514983333333334,Inf,1,1,1,1,1,1,1,1,1,1,1,1,2,2
onc_ecog6,numerical,4,NA,4,77,5175,0.9853389185072353,41,3,38,0.007806549885757807,0.010869565217391304,0.007636655948553055,1.2682926829268293,1.3333333333333333,1.263157894736842,0.07317073170731707,0.0032329092688382494,0.055330634278002694,0.19156,0.19156,0.09512,0.8725395,Inf,1,1,1,1,1.5,1.7999999999999998,2,1,1,1,1,1.75,2,2
onc_ecog7,numerical,4,NA,4,69,5183,0.9868621477532369,32,2,30,0.006092916984006093,0.007246376811594203,0.006028938906752411,1.21875,1,1.2333333333333334,0.0625,0.0012174379048417918,0.1914529914529915,0.05594,0.05594,0.64798,0.9514983333333334,2.4,1,1,1,1,1,1,1,1,1,1,1,1,2,2
onc_ecog8,numerical,4,NA,4,59,5193,0.9887661843107388,31,1,30,0.005902513328255902,0.0036231884057971015,0.006028938906752411,1.1935483870967742,1,1.2,0.03225806451612903,0.0024057505009553097,0.16756756756756752,-0.02739,0.02739,0.83683,0.952027902097902,0.9,1,1,1,1,1,1,1,1,1,1,1,1,2,2
onc_ecog9,numerical,4,NA,4,51,5201,0.9902894135567403,32,1,31,0.006092916984006093,0.0036231884057971015,0.006229903536977492,1.1875,2,1.1612903225806452,0.03125,0.0026067151311803907,0.7062818336162987,0.04943,0.04943,0.73052,0.9514983333333334,0.5806451612903226,2,2,2,2,2,2,2,1,1,1,1,1,2,2
