Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
c82746_index_min_dd,numerical,694,Date_Difference,694,3124,67759,0.9559273732770904,2900,109,2791,0.037586206896551726,0.006085793396873339,0.04091248959553066,0.035093367675466836,0.041179161072340174,263.7243918053777,292.125,262.58988015978696,0.11199237066402737,0.01819,0.01819,0.30934,0.5462101505210344,0.7562294387804958,0,5.9,39.75,230.5,511.25,657.4,720,0,7,49,210,452,614,730
c82746_max_min_dd,numerical,378,Date_Difference,378,3124,67759,0.9559273732770904,597,24,573,0.04020100502512563,7.272153373776118e-4,0.00842232975466614,0.0077269800386349004,0.008454195376012512,53.26440460947503,81.475,52.137483355525966,0.5507902859249322,0.01265,0.01265,0.47954,0.7024961575408262,1.0606457242582898,0,0,0,0,0,416.70000000000005,672,0,0,0,0,0,249.70000000000027,721
c82947_claim_cnt,numerical,27,NA,27,70883,0,0,2997,127,2870,0.04237570904237571,0.0014561455139791638,0.042280941833726,0.040888602704443014,0.04234474821842218,0.08495690080837437,0.08467482292337411,0.08496982752261091,0.0034724030235307427,-0.00142,0.00142,0.70617,0.8581232524399894,0.9641461192341746,0,0,0,0,0,0,13,0,0,0,0,0,0,42
c82947_flag,numerical,2,NA,2,70883,0,0,2997,127,2870,0.04237570904237571,0.0014561455139791638,0.042280941833726,0.040888602704443014,0.04234474821842218,0.042280941833726,0.040888602704443014,0.04234474821842218,0.03443976058304473,-0.00148,0.00148,0.69333,0.8524438775510204,0.9641461192341746,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c82947_index_max_dd,numerical,683,Date_Difference,683,2997,67886,0.957719058166274,2714,116,2598,0.04274134119380987,9.84517224923473e-4,0.03828844715940352,0.03734707018673535,0.038331587411658825,227.0744077410744,259.5275590551181,225.6383275261324,0.14924284892390208,0.03618,0.03618,0.04766,0.15731926406926405,1.1040660648050948,0,4.800000000000004,61,235,412.5,633,722,0,1,29,150,391,581,729
c82947_index_min_dd,numerical,713,Date_Difference,713,2997,67886,0.957719058166274,2790,121,2669,0.043369175627240145,4.2228272158114505e-4,0.039360636541907086,0.03895685769478429,0.039379140416365435,317.5321988655322,378.25984251968504,314.8449477351916,0.19971169856493262,0.05426,0.05426,0.00296,0.018031957390146472,1.5187336080929188,0,38.00000000000001,183,377,605,679,729,0,6,75,289,539,666,730
c82947_max_min_dd,numerical,476,Date_Difference,476,2997,67886,0.957719058166274,980,49,931,0.05,0.0020396943763182455,0.013825599932282776,0.015775917578879587,0.013736223202561341,90.45779112445778,118.73228346456693,89.20662020905924,0.3264026557412213,0.0294,0.0294,0.10758,0.27838150452488686,1.3083670715249662,0,0,0,0,136,506,667,0,0,0,0,79,382,724
c82948_claim_cnt,numerical,21,NA,21,70883,0,0,1258,53,1205,0.04213036565977742,7.151449593498053e-4,0.017747555831440543,0.01706374758531874,0.017778892544668544,0.03704696471650466,0.043142305215711524,0.036767635038434866,0.17206997188724346,-0.00105,0.00105,0.77991,0.893269894894895,0.9590773241203471,0,0,0,0,0,0,21,0,0,0,0,0,0,42
c82948_flag,numerical,2,NA,2,70883,0,0,1258,53,1205,0.04213036565977742,7.151449593498053e-4,0.017747555831440543,0.01706374758531874,0.017778892544668544,0.017747555831440543,0.01706374758531874,0.017778892544668544,0.040295405527497816,-0.00111,0.00111,0.76786,0.8844308912386708,0.9590773241203471,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c82948_index_max_dd,numerical,506,Date_Difference,506,1258,69625,0.9822524441685595,1091,48,1043,0.043996333638863426,6.525889545296037e-5,0.015391560740939295,0.015453960077269801,0.01538870118181684,204.54610492845788,239.11320754716982,203.02572614107885,0.1764271258976696,0.04075,0.04075,0.14859,0.3432288199697428,1.4910834132310644,0,5.4,52,207,449,531.6,692,0,0,23,128,340,540,728
c82948_index_min_dd,numerical,567,Date_Difference,567,1258,69625,0.9822524441685595,1131,50,1081,0.04420866489832007,1.485117271394186e-4,0.015955870942256957,0.016097875080489377,0.015949363353349958,285.2019077901431,348.0377358490566,282.4381742738589,0.23001094937789507,0.05845,0.05845,0.0382,0.13351031321619555,1.911810052420598,0,32.6,130,379,527,643.0000000000002,727,0,0,53,250,492,644.2000000000003,730
c82948_max_min_dd,numerical,282,Date_Difference,282,1258,69625,0.9822524441685595,506,26,480,0.05138339920948617,0.0012888465593309043,0.007138524046668454,0.008370895041854474,0.00708204848252357,80.65580286168522,108.9245283018868,79.41244813278009,0.36590151138556387,0.04352,0.04352,0.12286,0.30465284552845523,1.4544753086419755,0,0,0,0,197,427.79999999999995,615,0,0,0,0,43,346.2000000000003,728
c82962_claim_cnt,numerical,35,NA,35,70883,0,0,3062,95,2967,0.0310254735467015,0.013189949529669006,0.0431979459108672,0.030585962652929812,0.04377591218259882,0.10678159784433504,0.08692852543464263,0.10769139973737403,0.1944424387898678,-0.01327,0.01327,4.1e-4,0.003319911504424779,0.6891873936673271,0,0,0,0,0,0,32,0,0,0,0,0,0,79
c82962_flag,numerical,2,NA,2,70883,0,0,3062,95,2967,0.0310254735467015,0.013189949529669006,0.0431979459108672,0.030585962652929812,0.04377591218259882,0.0431979459108672,0.030585962652929812,0.04377591218259882,0.3053374240730007,-0.01328,0.01328,4.1e-4,0.003319911504424779,0.6891873936673271,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c82962_index_max_dd,numerical,671,Date_Difference,671,3062,67821,0.9568020540891328,2676,86,2590,0.032137518684603884,0.010525208131841705,0.03775235246815174,0.027688345138441726,0.03821355327028343,203.69693011103854,247.85263157894738,202.2831142568251,0.22371234214124683,0.03322,0.03322,0.06609,0.19971053500660502,1.390905190905191,0,5.200000000000001,31.5,168,459,638.8000000000002,724,0,0,21,117,344,556.4000000000001,730
c82962_index_min_dd,numerical,707,Date_Difference,707,3062,67821,0.9568020540891328,2803,87,2716,0.031038173385658223,0.012062288356894352,0.039544037357335325,0.028010302640051513,0.040072590996945864,318.40725016329196,358.2736842105263,317.1307718233906,0.12921474735903776,0.02849,0.02849,0.11497,0.29145664819944594,1.0050165684830632,0,7.4,94,348,609.5,694.8,728,0,4,68,298,551.5,672,730
c82962_max_min_dd,numerical,551,Date_Difference,551,3062,67821,0.9568020540891328,1394,40,1354,0.028694404591104734,0.007098978363393736,0.0196662105159206,0.0128783000643915,0.019977278427785235,114.71032005225342,110.42105263157895,114.84765756656556,0.038589421884362145,-0.01012,0.01012,0.57577,0.7734785672342925,0.8663891499932859,0,0,0,0,142.5,482.40000000000043,704,0,0,0,0,164,475.4000000000001,728
c82977_claim_cnt,numerical,19,NA,19,70883,0,0,1166,36,1130,0.030874785591766724,0.0050818524113218876,0.016449642368409914,0.01159047005795235,0.016672322469274237,0.028539988431640875,0.018673535093367676,0.028992135975330863,0.3615488810262959,-0.00817,0.00817,0.02962,0.11080253475061325,0.691617998904615,0,0,0,0,0,0,7,0,0,0,0,0,0,28
c82977_flag,numerical,2,NA,2,70883,0,0,1166,36,1130,0.030874785591766724,0.0050818524113218876,0.016449642368409914,0.01159047005795235,0.016672322469274237,0.016449642368409914,0.01159047005795235,0.016672322469274237,0.30893391464127734,-0.00818,0.00818,0.02946,0.11029418985270048,0.691617998904615,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c82977_index_max_dd,numerical,450,Date_Difference,450,1166,69717,0.98355035763159,1059,29,1030,0.027384324834749764,0.005860128155397989,0.014940112579885163,0.009336767546683838,0.015196895702081827,197.75471698113208,229.61111111111111,196.73982300884956,0.16622252355880762,0.00655,0.00655,0.8232,0.911981465930902,0.4022191400832177,0,0,14,150,434.75,581.5,703,0,2,20,105.5,350,544.4000000000001,729
c82977_index_min_dd,numerical,516,Date_Difference,516,1166,69717,0.98355035763159,1081,32,1049,0.02960222016651249,0.005174586736335186,0.015250483190609879,0.0103026400515132,0.015477226787848386,275.85677530017153,277.02777777777777,275.8194690265487,0.004380203277277749,-0.00628,0.00628,0.83029,0.911981465930902,0.6177311725452812,0,2,24.75,169.5,525.25,647,703,0,6,32,212,504.75,648,729
c82977_max_min_dd,numerical,240,Date_Difference,240,1166,69717,0.98355035763159,317,10,307,0.031545741324921134,0.001309985159182825,0.00447215834544249,0.003219575016097875,0.0045295601752807,78.10205831903946,47.416666666666664,79.07964601769912,0.4054051843511243,-0.00906,0.00906,0.75726,0.8824504555808657,1.0310699072914058,0,0,0,0,16.5,76.5,545,0,0,0,0,28.75,363,705
c83036_claim_cnt,numerical,20,NA,20,70883,0,0,11634,438,11196,0.037648272305312015,0.024171395149775343,0.16412962205324266,0.14101738570508693,0.16518878085486227,0.386326763822073,0.3415969092079845,0.3883765879280582,0.12108837155693036,-0.01295,0.01295,5.7e-4,0.004434948979591837,0.8296520951742777,0,0,0,0,0,1,11,0,0,0,0,0,1,24
c83036_flag,numerical,2,NA,2,70883,0,0,11634,438,11196,0.037648272305312015,0.024171395149775343,0.16412962205324266,0.14101738570508693,0.16518878085486227,0.16412962205324266,0.14101738570508693,0.16518878085486227,0.1472701566444495,-0.01336,0.01336,3.8e-4,0.0031437613019891504,0.8296520951742777,0,0,0,0,0,1,1,0,0,0,0,0,1,1
c83036_index_max_dd,numerical,731,Date_Difference,731,11634,59249,0.8358703779467573,11275,429,10846,0.03804878048780488,0.021905018979089974,0.15906493799641663,0.13811976819059885,0.16002478716968882,197.41292762592403,210.03424657534248,196.9191675598428,0.06643475264371398,0.01777,0.01777,0.05529,0.17456987577639752,1.5382014874915484,0,19,50.25,153.5,328,506.3,730,0,13,45,122.5,302,519,730
c83036_index_min_dd,numerical,732,Date_Difference,732,11634,59249,0.8358703779467573,11450,434,11016,0.03790393013100437,0.022803456975268144,0.1615337951271814,0.13972955569864778,0.16253301267391593,391.3690046415678,412.8812785388128,390.52742050732405,0.0571170883906899,0.01962,0.01962,0.03432,0.12382807570977919,1.772875816993464,0,58.80000000000001,197.25,453.5,627.75,694,730,0,45,174,420,612,683,730
c83036_max_min_dd,numerical,722,Date_Difference,722,11634,59249,0.8358703779467573,5995,231,5764,0.03853211009174312,0.010671415989109617,0.08457599142248494,0.07437218287186091,0.08504359886097053,193.9560770156438,202.84703196347033,193.60825294748125,0.047633356779246024,0.00676,0.00676,0.46585,0.69062337977965,1.0516650071910607,0,0,0,89,413.5,572.6,720,0,0,0,63,389,566,730
c83540_claim_cnt,numerical,30,NA,30,70883,0,0,4072,201,3871,0.0493614931237721,0.007599687665549082,0.05744677849413823,0.06471345782356729,0.057113770158018204,0.1115500190454693,0.11687057308435286,0.11130619531699544,0.049882356049525255,0.00656,0.00656,0.08063,0.22798655747836835,1.1422689836735584,0,0,0,0,0,0,13,0,0,0,0,0,0,40
c83540_flag,numerical,2,NA,2,70883,0,0,4072,201,3871,0.0493614931237721,0.007599687665549082,0.05744677849413823,0.06471345782356729,0.057113770158018204,0.05744677849413823,0.06471345782356729,0.057113770158018204,0.13229092848652152,0.00669,0.00669,0.0751,0.21745727848101265,1.1422689836735584,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83540_index_max_dd,numerical,670,Date_Difference,670,4072,66811,0.9425532215058617,3544,171,3373,0.048250564334085776,0.005288587917873663,0.04999788383674506,0.05505473277527367,0.0497661448574,175.2718565815324,192.18407960199005,174.393696719194,0.10150165137618873,0.00961,0.00961,0.53965,0.7481511363636364,0.8415653720723392,0,0,16,96,319,550,728,0,0,15,85,289,511,730
c83540_index_min_dd,numerical,715,Date_Difference,715,4072,66811,0.9425532215058617,3621,175,3446,0.04832919083126208,0.005499356384262348,0.051084180974281565,0.05634256278171281,0.05084320639745046,257.9179764243615,265.1094527363184,257.5445621286489,0.029330606235924858,0.00165,0.00165,0.91616,0.9582606310013718,0.8301151837135586,0,0,21,204,495,644,728,0,0,32,186,461,640,730
c83540_max_min_dd,numerical,537,Date_Difference,537,4072,66811,0.9425532215058617,1195,50,1145,0.04184100418410042,7.957614038637227e-4,0.01685876726436522,0.016097875080489377,0.0168936364843531,82.64611984282908,72.92537313432835,83.15086540945492,0.12372622325854782,-0.02141,0.02141,0.17195,0.3768020833333333,0.7883397437751235,0,0,0,0,0,335,704,0,0,0,0,69,363,728
c83550_claim_cnt,numerical,26,NA,26,70883,0,0,3045,163,2882,0.053530377668308704,0.0099572733319101,0.0429581140753072,0.052479072762395364,0.042521799430485265,0.08123245347967778,0.0901481004507405,0.08082387830680024,0.11478444568060388,0.00999,0.00999,0.00785,0.03942233809001097,1.247138259359003,0,0,0,0,0,0,13,0,0,0,0,0,0,40
c83550_flag,numerical,2,NA,2,70883,0,0,3045,163,2882,0.053530377668308704,0.0099572733319101,0.0429581140753072,0.052479072762395364,0.042521799430485265,0.0429581140753072,0.052479072762395364,0.042521799430485265,0.2317902809805529,0.01005,0.01005,0.00745,0.03766160220994475,1.247138259359003,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83550_index_max_dd,numerical,633,Date_Difference,633,3045,67838,0.9570418859246929,2696,141,2555,0.05229970326409496,0.007698853825213958,0.03803450756881058,0.04539600772698004,0.03769715390176608,178.00656814449917,203.6319018404908,176.55725190839695,0.15209916248773273,0.01548,0.01548,0.39329,0.6326658755274261,0.8202632983454902,0,0,16,101,345,593.6000000000001,728,0,0,17,89,294.75,507,730
c83550_index_min_dd,numerical,687,Date_Difference,687,3045,67838,0.9570418859246929,2744,143,2601,0.05211370262390671,0.0076640725155250194,0.03871167981039177,0.04603992273019961,0.038375850214674594,254.10509031198686,271.0184049079755,253.14850798056904,0.07032482861900177,0.00998,0.00998,0.58209,0.7779637850467289,0.7724529027297192,0,0,25,217,496,644,728,0,1,34,181,450.75,630,730
c83550_max_min_dd,numerical,456,Date_Difference,456,3045,67838,0.9570418859246929,872,43,829,0.04931192660550459,0.0016128846691957806,0.012301962388725083,0.013844172569220863,0.012231287900025083,76.09852216748769,67.38650306748467,76.5912560721721,0.12095836742306763,-0.01376,0.01376,0.44789,0.677405403172505,0.8874045034177724,0,0,0,0,10.5,314.2000000000001,704,0,0,0,0,49,328.9000000000001,728
c83605_claim_cnt,numerical,9,NA,9,70883,0,0,1679,37,1642,0.022036926742108397,0.01231407995773724,0.02368692070030896,0.011912427559562138,0.024226507517299378,0.03188352637444804,0.015453960077269801,0.03263644009029612,0.5389140401607719,-0.01658,0.01658,1e-5,1.1914062500000001e-4,0.4855825156599192,0,0,0,0,0,0,3,0,0,0,0,0,0,10
c83605_flag,numerical,2,NA,2,70883,0,0,1679,37,1642,0.022036926742108397,0.01231407995773724,0.02368692070030896,0.011912427559562138,0.024226507517299378,0.02368692070030896,0.011912427559562138,0.024226507517299378,0.51986833212882,-0.01657,0.01657,1e-5,1.1914062500000001e-4,0.4855825156599192,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83605_index_max_dd,numerical,503,Date_Difference,503,1679,69204,0.976313079299691,1356,32,1324,0.02359882005899705,0.009232010346114315,0.01913011582466882,0.0103026400515132,0.019534650397627515,155.15187611673616,210.1891891891892,153.91169305724725,0.3627252053955106,0.03307,0.03307,0.17556,0.38259281294621605,1.5371601208459214,0,0,19,98,449,620.5999999999999,727,0,0,4,67.5,250.5,464,727
c83605_index_min_dd,numerical,519,Date_Difference,519,1679,69204,0.976313079299691,1394,32,1362,0.02295552367288379,0.009792672517647429,0.0196662105159206,0.0103026400515132,0.02009531256916063,177.72185824895772,211.59459459459458,176.95858708891595,0.1948888439887881,0.01867,0.01867,0.44466,0.6747328358208956,1.315712187958884,0,0,21,98,449,620.5999999999999,727,0,0,9,94,298,505.9000000000001,730
c83605_max_min_dd,numerical,160,Date_Difference,160,1679,69204,0.976313079299691,239,3,236,0.012552301255230125,0.0025161346657447256,0.0033717534528730445,9.658725048293626e-4,0.0034820071705740883,22.56998213222156,1.4054054054054055,23.046894031668696,0.9588615754979829,-0.02895,0.02895,0.23584,0.45792684478371504,0.5256729810568296,0,0,0,0,0,0,45,0,0,0,0,0,21,730
c83615_claim_cnt,numerical,24,NA,24,70883,0,0,4492,265,4227,0.058993766696349065,0.02295244847737051,0.0633720356079737,0.0853187379265937,0.062366289449223185,0.12153830960879196,0.1699935608499678,0.11931776266285023,0.41695329110823626,0.01949,0.01949,0,0,1.4023549353825457,0,0,0,0,0,0,19,0,0,0,0,0,0,25
c83615_flag,numerical,2,NA,2,70883,0,0,4492,265,4227,0.058993766696349065,0.02295244847737051,0.0633720356079737,0.0853187379265937,0.062366289449223185,0.0633720356079737,0.0853187379265937,0.062366289449223185,0.36218575365571104,0.01928,0.01928,0,0,1.4023549353825457,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83615_index_max_dd,numerical,571,Date_Difference,571,4492,66391,0.9366279643920263,2806,160,2646,0.05702066999287242,0.012473407997654819,0.039586360622434154,0.051513200257566,0.03903979225991118,88.29808548530721,76.56603773584905,89.03359356517625,0.14119848421177597,-0.02082,0.02082,0.16301,0.3629322157434402,0.9104848288521759,0,0,0,7,54,275.4,708,0,0,0,10,84,337,729
c83615_index_min_dd,numerical,672,Date_Difference,672,4492,66391,0.9366279643920263,3155,185,2970,0.058637083993660855,0.0157419628121961,0.04450996712893077,0.05956213779781069,0.043820174985614586,159.47217275155833,157.38867924528302,159.60279157795128,0.013884004302854955,-0.00912,0.00912,0.54136,0.7496131961259079,0.9787247474747475,0,0,0,18,266,604.8,730,0,0,0,30,266.5,564,730
c83615_max_min_dd,numerical,521,Date_Difference,521,4492,66391,0.9366279643920263,1211,85,1126,0.07018992568125516,0.010753082238245396,0.01708449134489229,0.027366387636831937,0.01661330539858654,71.1740872662511,80.82264150943396,70.56919801277502,0.14406146802139408,0.02542,0.02542,0.08852,0.24352315093205051,1.3004983224787843,0,0,0,0,29,373,725,0,0,0,0,19.5,321.4000000000001,730
c83690_claim_cnt,numerical,15,NA,15,70883,0,0,3647,109,3538,0.029887578831916645,0.017107231347800643,0.05145098260513804,0.035093367675466836,0.05220059902326748,0.07351551147665872,0.04539600772698004,0.0748041370966552,0.40002618194409606,-0.01599,0.01599,2e-5,2.2704714640198512e-4,0.6603599076747748,0,0,0,0,0,0,6,0,0,0,0,0,0,32
c83690_flag,numerical,2,NA,2,70883,0,0,3647,109,3538,0.029887578831916645,0.017107231347800643,0.05145098260513804,0.035093367675466836,0.05220059902326748,0.05145098260513804,0.035093367675466836,0.05220059902326748,0.3324957169251859,-0.01585,0.01585,2e-5,2.2704714640198512e-4,0.6603599076747748,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83690_index_max_dd,numerical,664,Date_Difference,664,3647,67236,0.948549017394862,3041,91,2950,0.029924366984544558,0.014226956985685442,0.04290168305517543,0.029298132646490664,0.043525089632176106,164.05456539621608,205.55045871559633,162.776144714528,0.26073223806824297,0.0296,0.0296,0.07388,0.2148766687857597,1.007683615819209,0,0,13,110,323,583.2,728,0,0,8,65,270,497,730
c83690_index_min_dd,numerical,693,Date_Difference,693,3647,67236,0.948549017394862,3144,92,3052,0.029262086513994912,0.015409934786611915,0.04435478182356842,0.02962009014810045,0.045030024934712365,195.64710721140665,223.86238532110093,194.77784058790277,0.1486581894705493,0.01901,0.01901,0.25104,0.4773516209476309,0.8617685606352633,0,0,16,135,392,601.8000000000002,728,0,0,13,101.5,339,557.3000000000002,730
c83690_max_min_dd,numerical,322,Date_Difference,322,3647,67236,0.948549017394862,623,12,611,0.019261637239165328,0.005151367528228178,0.008789131385522621,0.0038634900193174502,0.009014857547545628,31.592541815190568,18.31192660550459,32.001695873374786,0.4333228186561354,-0.02831,0.02831,0.0874,0.24131261315630662,0.5926400863887156,0,0,0,0,0,1.2000000000000028,440,0,0,0,0,0,74,730
c83721_claim_cnt,numerical,10,NA,10,70883,0,0,1317,48,1269,0.03644646924829157,0.003269205598401888,0.0185799133783841,0.015453960077269801,0.01872316567567169,0.03052918189128564,0.030585962652929812,0.030526579813210972,0.0019451172956518115,-0.00491,0.00491,0.19131,0.405768776077886,0.8226517432089144,0,0,0,0,0,0,8,0,0,0,0,0,0,9
c83721_flag,numerical,2,NA,2,70883,0,0,1317,48,1269,0.03644646924829157,0.003269205598401888,0.0185799133783841,0.015453960077269801,0.01872316567567169,0.0185799133783841,0.015453960077269801,0.01872316567567169,0.17595375886979575,-0.00496,0.00496,0.18705,0.39945321978534765,0.8226517432089144,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83721_index_max_dd,numerical,563,Date_Difference,563,1317,69566,0.981420086621616,1289,47,1242,0.03646237393328161,0.0031927978728697234,0.018184896237461733,0.015132002575660013,0.018324800448529736,263.53682611996965,259.3125,263.6966115051221,0.0166356693660959,-0.00586,0.00586,0.83185,0.9126411870503598,1.0217391304347827,0,20.4,79.75,202,407,613.9000000000001,699,0,26.80000000000001,80,209,422,600.2,729
c83721_index_min_dd,numerical,592,Date_Difference,592,1317,69566,0.981420086621616,1296,47,1249,0.036265432098765434,0.003296077746573192,0.018283650522692325,0.015132002575660013,0.018428080322233205,372.0220197418375,400.625,370.9401103230891,0.07979336733215572,0.02469,0.02469,0.37066,0.6088938958707361,0.7526020816653323,0,45.50000000000001,181,457.5,631.75,687.5,728,0,49,154,380,590,673,729
c83721_max_min_dd,numerical,297,Date_Difference,297,1317,69566,0.981420086621616,431,21,410,0.048723897911832945,7.118577883166548e-4,0.006080442419197833,0.006761107533805538,0.006049249745488883,108.48519362186788,141.3125,107.24349881796691,0.3140428665388457,0.04183,0.04183,0.12918,0.31570432692307687,1.6295392953929537,0,0,0,0,220.5,496.2000000000001,672,0,0,0,0,183,403.0000000000002,716
c83735_claim_cnt,numerical,33,NA,33,70883,0,0,5746,239,5507,0.04159415245388096,0.004303909184546831,0.08106316041928248,0.07694784288473921,0.08125175206928605,0.15890975269105426,0.1522858982614295,0.15921330244773302,0.04359332305910448,-0.00323,0.00323,0.38962,0.629417902542373,0.9426142419873518,0,0,0,0,0,0,16,0,0,0,0,0,0,84
c83735_flag,numerical,2,NA,2,70883,0,0,5746,239,5507,0.04159415245388096,0.004303909184546831,0.08106316041928248,0.07694784288473921,0.08125175206928605,0.08106316041928248,0.07694784288473921,0.08125175206928605,0.05309328136586025,-0.00323,0.00323,0.39014,0.6298131616090331,0.9426142419873518,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83735_index_max_dd,numerical,709,Date_Difference,709,5746,65137,0.9189368395807175,4666,190,4476,0.04072010287183883,0.004868176793672664,0.06582678498370555,0.061171925305859624,0.06604010209953229,172.86442742777584,169.6652719665272,173.003268567278,0.01930991037554823,-0.00996,0.00996,0.45034,0.6793113254203759,0.8931535080520144,0,0,5.5,73,286.5,509.00000000000034,730,0,0,8,85,289,506,730
c83735_index_min_dd,numerical,730,Date_Difference,730,5746,65137,0.9189368395807175,4948,203,4745,0.0410266774454325,0.0046516272764930144,0.06980517190299508,0.06535737282678686,0.07000900010327987,248.00939784197703,249.00836820083683,247.9660432177229,0.004202764057263919,-0.00277,0.00277,0.83385,0.9135210129310344,0.9055497014401124,0,0,17.5,153,450.5,648.0000000000001,730,0,0,28,179,441,627.4000000000005,730
c83735_max_min_dd,numerical,602,Date_Difference,602,5746,65137,0.9189368395807175,1894,74,1820,0.03907074973600845,0.0030279120437775933,0.026720088032391405,0.023824855119124275,0.02685276716290187,75.14497041420118,79.34309623430963,74.96277465044489,0.05829161365984026,-0.00433,0.00433,0.74262,0.8754152280340117,0.9085514485514485,0,0,0,0,29.5,375.80000000000007,725,0,0,0,0,27,348,730
c83880_claim_cnt,numerical,19,NA,19,70883,0,0,3295,110,3185,0.03338391502276176,0.011577017358001644,0.046485052833542595,0.03541532517707663,0.04699234253507827,0.07520844208061171,0.07179652285898261,0.07536479926818833,0.04744515789040125,-0.01121,0.01121,0.00284,0.01748721399730821,0.7445950959206729,0,0,0,0,0,0,43,0,0,0,0,0,0,19
c83880_flag,numerical,2,NA,2,70883,0,0,3295,110,3185,0.03338391502276176,0.011577017358001644,0.046485052833542595,0.03541532517707663,0.04699234253507827,0.046485052833542595,0.03541532517707663,0.04699234253507827,0.2490481703754873,-0.01126,0.01126,0.00273,0.01699285714285714,0.7445950959206729,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83880_index_max_dd,numerical,668,Date_Difference,668,3295,67588,0.9535149471664573,2975,104,2871,0.03495798319327731,0.008875922318676205,0.04197057122300128,0.0334835801674179,0.0423595024860941,204.91138088012138,220.93636363636364,204.3579277864992,0.08090539324198523,0.0256,0.0256,0.14179,0.33476818885448917,1.895738999187275,0,6.9,64.75,154.5,330.75,534.8000000000003,722,0,1,26,131,344,540.5999999999999,729
c83880_index_min_dd,numerical,701,Date_Difference,701,3295,67588,0.9535149471664573,3040,104,2936,0.034210526315789476,0.009834949717351271,0.04288757530014249,0.0334835801674179,0.04331852988476917,261.06616084977236,280.3636363636364,260.39968602825746,0.07647084658691919,0.01774,0.01774,0.30877,0.5456248551564311,1.4700272479564034,0,10.9,74,241.5,467.25,645.2,722,0,3,47,204,448,614,729
c83880_max_min_dd,numerical,429,Date_Difference,429,3295,67588,0.9535149471664573,835,28,807,0.033532934131736525,0.002891883966168702,0.011779975452506242,0.00901481004507405,0.011906694011242752,56.15477996965099,59.42727272727273,56.041758241758245,0.060288981407178435,0.00231,0.00231,0.89453,0.9480752258512857,1.006195786864932,0,0,0,0,3.75,261.5000000000001,698,0,0,0,0,1,245.5999999999999,725
c83970_claim_cnt,numerical,23,NA,23,70883,0,0,1435,49,1386,0.03414634146341464,0.0046734974144072225,0.02024462847227121,0.015775917578879587,0.02044941499328681,0.052057616071554534,0.030907920154539602,0.05302683801289523,0.42489302291431497,-0.00681,0.00681,0.06962,0.20602277131782942,0.7677973718209242,0,0,0,0,0,0,7,0,0,0,0,0,0,41
c83970_flag,numerical,2,NA,2,70883,0,0,1435,49,1386,0.03414634146341464,0.0046734974144072225,0.02024462847227121,0.015775917578879587,0.02044941499328681,0.02024462847227121,0.015775917578879587,0.02044941499328681,0.23085123151597708,-0.00679,0.00679,0.07054,0.20793846649484538,0.7677973718209242,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c83970_index_max_dd,numerical,514,Date_Difference,514,1435,69448,0.9797553715277288,1376,46,1330,0.03343023255813953,0.004813130929608833,0.019412270925327654,0.014810045074050225,0.01962317600365906,194.2355400696864,218.87755102040816,193.36435786435786,0.13135182751260077,0.03103,0.03103,0.24013,0.46303318584070796,0.6456140350877193,0,16.6,50,184,324,551.0000000000001,720,0,7,34,114.5,313.75,523,730
c83970_index_min_dd,numerical,583,Date_Difference,583,1435,69448,0.9797553715277288,1386,47,1339,0.03391053391053391,0.004623961837046364,0.019553348475657067,0.015132002575660013,0.019755964412706377,323.801393728223,305.85714285714283,324.43578643578644,0.05737666340694403,-0.01092,0.01092,0.67946,0.8433341020075962,0.8248693054518298,0,24.800000000000004,126,249,539,639.4000000000001,720,0,16.5,85,298.5,553.5,680,730
c83970_max_min_dd,numerical,357,Date_Difference,357,1435,69448,0.9797553715277288,586,19,567,0.032423208191126277,0.0022484772393950043,0.008267144449303782,0.006117192530585963,0.008365669769980967,129.56585365853658,86.9795918367347,131.07142857142858,0.34030445128618075,-0.02362,0.02362,0.37117,0.60923968794835,0.9148148148148147,0,0,0,0,102,331.00000000000017,549,0,0,0,0,233,471,728
