Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
c00810_max_min_dd,numerical,125,Date_Difference,125,3197,67686,0.9548975071596857,157,4,153,0.025477707006369428,9.695729473652378e-4,0.0022149175401718325,0.00128783000643915,0.002257402953804388,11.366906474820144,14.5,11.253160453808752,0.285639681595306,-0.01117,0.01117,0.5279,0.7389491900977996,0.7097555071411281,0,0,0,0,0,0,706,0,0,0,0,0,0,665
c00865_claim_cnt,numerical,5,NA,5,70883,0,0,2247,16,2231,0.007120605251446373,0.027765451150306077,0.03170012555901979,0.0051513200257566,0.032916771176062676,0.04201289448810011,0.005795235028976175,0.04367263230889535,0.901566001139191,-0.03247,0.03247,0,0,0.1521276395132431,0,0,0,0,0,0,2,0,0,0,0,0,0,4
c00865_flag,numerical,2,NA,2,70883,0,0,2247,16,2231,0.007120605251446373,0.027765451150306077,0.03170012555901979,0.0051513200257566,0.032916771176062676,0.03170012555901979,0.0051513200257566,0.032916771176062676,0.8758782705327751,-0.03244,0.03244,0,0,0.1521276395132431,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c00865_index_max_dd,numerical,474,Date_Difference,474,2247,68636,0.9682998744409802,881,15,866,0.0170261066969353,0.00794783327973946,0.012428932184021557,0.004829362524146813,0.012777195803886273,105.70271473075212,388.125,103.67727476467951,2.691016271056717,0.1155,0.1155,0,0,23.643187066974594,0,150.5,286,374,554.75,653.5,667,0,0,0,0,127,428,730
c00865_index_min_dd,numerical,472,Date_Difference,472,2247,68636,0.9682998744409802,884,15,869,0.016968325791855202,0.007992096082755234,0.012471255449120382,0.004829362524146813,0.012821458606902047,106.05162438807298,388.125,104.02868668758404,2.678849239242456,0.11524,0.11524,0,0,23.509781357882623,0,150.5,286,374,554.75,653.5,667,0,0,0,0,127,429,730
c00865_max_min_dd,numerical,8,Date_Difference,8,2247,68636,0.9682998744409802,6,0,6,0,8.852560603154462e-5,8.464653019764965e-5,0,8.852560603154462e-5,0.34890965732087226,0,0.3514119229045271,1.0071716718960109,-0.00438,0.00438,0.83554,0.9138305661729575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581
c00910_claim_cnt,numerical,14,NA,14,70883,0,0,1375,82,1293,0.05963636363636363,0.007323247032204709,0.019398163170294712,0.026400515132002575,0.019077268099797866,0.031629586783855086,0.0412105602060528,0.031190521858447555,0.31679321061253457,0.01087,0.01087,0.0038,0.021895465994962216,1.39428219513293,0,0,0,0,0,0,6,0,0,0,0,0,0,20
c00910_flag,numerical,2,NA,2,70883,0,0,1375,82,1293,0.05963636363636363,0.007323247032204709,0.019398163170294712,0.026400515132002575,0.019077268099797866,0.019398163170294712,0.026400515132002575,0.019077268099797866,0.3775227050063755,0.01087,0.01087,0.00381,0.021897927135678393,1.39428219513293,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c00910_index_max_dd,numerical,528,Date_Difference,528,1375,69508,0.9806018368297053,1244,74,1170,0.0594855305466238,0.006562361942973074,0.01755004726097936,0.023824855119124275,0.0172624931761512,205.92145454545454,232.20731707317074,204.25444702242845,0.13574530207376742,0.03893,0.03893,0.14911,0.34383984375,0.9724358974358973,0,4.299999999999999,54,159.5,408,533.1000000000001,729,0,1,24,118,336,568.8,730
c00910_index_min_dd,numerical,554,Date_Difference,554,1375,69508,0.9806018368297053,1269,75,1194,0.0591016548463357,0.006530217020456683,0.017902741136802902,0.02414681262073406,0.01761659560027738,245.30327272727274,276.9634146341463,243.2954369682908,0.13725042186162534,0.03973,0.03973,0.14087,0.33340933781686494,0.8883704235463029,0,12.2,69.75,241,480.75,557.6000000000001,729,0,3,37,181,414,612.8,730
c00910_max_min_dd,numerical,197,Date_Difference,197,1375,69508,0.9806018368297053,260,17,243,0.06538461538461539,0.0018879904830888306,0.003668016308564818,0.005473277527366388,0.0035852870442775573,39.38181818181818,44.75609756097561,39.040989945862336,0.1451204611409188,0.01396,0.01396,0.60507,0.7919315842150415,1.1301044634377968,0,0,0,0,0,235.50000000000009,427,0,0,0,0,0,134.39999999999986,672
c00914_claim_cnt,numerical,6,NA,6,70883,0,0,1242,78,1164,0.06280193236714976,0.007938717555443769,0.01752183175091348,0.025112685125563427,0.017173967570119658,0.023362442334551304,0.03541532517707663,0.022810097820794663,0.5395509243329315,0.01245,0.01245,9.2e-4,0.006628346456692913,1.4741604134606217,0,0,0,0,0,0,4,0,0,0,0,0,0,6
