Column,Type,NumUniqueValues
c45380_index_max_dd,numerical,712
c45380_index_min_dd,numerical,710
c45380_max_min_dd,numerical,83
c45385_claim_cnt,numerical,8
c45385_flag,numerical,2
c45385_index_max_dd,numerical,708
c45385_index_min_dd,numerical,707
c45385_max_min_dd,numerical,82
c51700_claim_cnt,numerical,13
c51700_flag,numerical,2
c51700_index_max_dd,numerical,490
c51700_index_min_dd,numerical,525
c51700_max_min_dd,numerical,171
c51702_claim_cnt,numerical,29
c51702_flag,numerical,2
c51702_index_max_dd,numerical,614
c51702_index_min_dd,numerical,673
c51702_max_min_dd,numerical,410
c51741_claim_cnt,numerical,15
c51741_flag,numerical,2
c51741_index_max_dd,numerical,664
c51741_index_min_dd,numerical,692
c51741_max_min_dd,numerical,414
c51798_claim_cnt,numerical,22
c51798_flag,numerical,2
c51798_index_max_dd,numerical,729
c51798_index_min_dd,numerical,732
c51798_max_min_dd,numerical,699
c52000_claim_cnt,numerical,11
c52000_flag,numerical,2
c52000_index_max_dd,numerical,719
c52000_index_min_dd,numerical,725
c52000_max_min_dd,numerical,374
c52281_claim_cnt,numerical,11
c52281_flag,numerical,2
c52281_index_max_dd,numerical,445
c52281_index_min_dd,numerical,463
c52281_max_min_dd,numerical,105
c52332_claim_cnt,numerical,14
c52332_flag,numerical,2
c52332_index_max_dd,numerical,356
c52332_index_min_dd,numerical,400
c52332_max_min_dd,numerical,172
c52601_claim_cnt,numerical,7
c52601_flag,numerical,2
c52601_index_max_dd,numerical,506
c52601_index_min_dd,numerical,516
c52601_max_min_dd,numerical,43
c55700_claim_cnt,numerical,8
c55700_flag,numerical,2
c55700_index_max_dd,numerical,729
c55700_index_min_dd,numerical,729
c55700_max_min_dd,numerical,265
c55866_claim_cnt,numerical,5
c55866_flag,numerical,2
c55866_index_max_dd,numerical,507
c55866_index_min_dd,numerical,508
c55866_max_min_dd,numerical,7
c6045f_claim_cnt,numerical,11
c6045f_flag,numerical,2
c6045f_index_max_dd,numerical,437
c6045f_index_min_dd,numerical,450
c6045f_max_min_dd,numerical,108
c66984_claim_cnt,numerical,9
c66984_flag,numerical,2
c66984_index_max_dd,numerical,709
c66984_index_min_dd,numerical,697
c66984_max_min_dd,numerical,143
c69210_claim_cnt,numerical,13
c69210_flag,numerical,2
c69210_index_max_dd,numerical,651
c69210_index_min_dd,numerical,645
c69210_max_min_dd,numerical,247
c70450_claim_cnt,numerical,18
c70450_flag,numerical,2
c70450_index_max_dd,numerical,730
c70450_index_min_dd,numerical,731
c70450_max_min_dd,numerical,584
c70551_claim_cnt,numerical,7
c70551_flag,numerical,2
c70551_index_max_dd,numerical,598
c70551_index_min_dd,numerical,615
c70551_max_min_dd,numerical,113
c70553_claim_cnt,numerical,8
c70553_flag,numerical,2
c70553_index_max_dd,numerical,573
c70553_index_min_dd,numerical,591
c70553_max_min_dd,numerical,114
c71010_claim_cnt,numerical,41
c71010_flag,numerical,2
c71010_index_max_dd,numerical,732
c71010_index_min_dd,numerical,732
c71010_max_min_dd,numerical,715
c71020_claim_cnt,numerical,29
c71020_flag,numerical,2
c71020_index_max_dd,numerical,732
c71020_index_min_dd,numerical,732
c71020_max_min_dd,numerical,723
c71100_claim_cnt,numerical,5
c71100_flag,numerical,2
c71100_index_max_dd,numerical,408
c71100_index_min_dd,numerical,414
c71100_max_min_dd,numerical,37
c71250_claim_cnt,numerical,12
c71250_flag,numerical,2
c71250_index_max_dd,numerical,674
c71250_index_min_dd,numerical,690
c71250_max_min_dd,numerical,381
c71260_claim_cnt,numerical,11
c71260_flag,numerical,2
c71260_index_max_dd,numerical,685
c71260_index_min_dd,numerical,716
c71260_max_min_dd,numerical,518
c71275_claim_cnt,numerical,9
c71275_flag,numerical,2
c71275_index_max_dd,numerical,603
c71275_index_min_dd,numerical,621
c71275_max_min_dd,numerical,178
c72040_claim_cnt,numerical,9
c72040_flag,numerical,2
c72040_index_max_dd,numerical,537
c72040_index_min_dd,numerical,542
c72040_max_min_dd,numerical,113
c72070_claim_cnt,numerical,7
c72070_flag,numerical,2
c72070_index_max_dd,numerical,402
c72070_index_min_dd,numerical,412
c72070_max_min_dd,numerical,48
c72100_claim_cnt,numerical,11
c72100_flag,numerical,2
c72100_index_max_dd,numerical,712
c72100_index_min_dd,numerical,716
c72100_max_min_dd,numerical,299
c72110_claim_cnt,numerical,7
c72110_flag,numerical,2
c72110_index_max_dd,numerical,653
